LRCX,Semi equipment stocks move on AMAT print,"Yesterday, 4:54 PM"
BIDU,"Baidu -9.6% on Q1 miss, low Q2 revenue outlook","Yesterday, 4:52 PM"
BPTH,Bio-Path files for $125M mixed shelf; shares down 7% after hours,"Yesterday, 4:51 PM"
DFFN,Diffusion Pharma files for $50M mixed shelf; shares down 10% after hours,"Yesterday, 4:50 PM"
AI.PB,Arlington Asset Investment Cum Red Pfd Registered Series B declares $0.4375 dividend,"Yesterday, 4:49 PM"
,iStar Inc. PFD SER D declares $0.50 dividend,"Yesterday, 4:49 PM"
,Panhandle Oil and Gas declares $0.04 dividend,"Yesterday, 4:48 PM"
STAR.PI,iStar Inc. PFD SER I declares $0.46875 dividend,"Yesterday, 4:47 PM"
STAR.PG,iStar Financial Inc 7.65 % Cum Red Pfd Shs Series G declares $0.4781 dividend,"Yesterday, 4:46 PM"
VAR,Varian expects $4M - 5M hit from U.S./China trade war,"Yesterday, 4:46 PM"
SF.PA,Stifel Financial Corp Deposit Shs Repr Non-Cum Pfd Shs Series A declares $0.390625 dividend,"Yesterday, 4:45 PM"
PSIX,Power Solutions International provides preliminary financial results for FY18,"Yesterday, 4:45 PM"
WPTIF,WPT Industrial REIT declares $0.0633 dividend,"Yesterday, 4:44 PM"
NVDA,"Nvidia +6% on Q1 beats, gaming recovery","Yesterday, 4:43 PM"
CHS,Chico's turns down offer from Sycamore Partners,"Yesterday, 4:42 PM"
,Wyndham Destinations declares $0.45 dividend,"Yesterday, 4:41 PM"
VNET,"21Vianet Group, Inc. misses by $0.02, misses on revenue","Yesterday, 4:41 PM"
NTB,Bank of N.T. Butterfield COO exits,"Yesterday, 4:41 PM"
MOR,Morphosys' lead drug successful in mid-stage DLBCL study,"Yesterday, 4:41 PM"
,Stifel Financial declares $0.15 dividend,"Yesterday, 4:41 PM"
IQ,IQiyi grows top line but widens losses; shares -2.9%,"Yesterday, 4:40 PM"
POL,PolyOne declares $0.195 dividend,"Yesterday, 4:40 PM"
,First BanCorp. declares $0.03 dividend,"Yesterday, 4:40 PM"
WTRH,Waitr Holdings to offer shares,"Yesterday, 4:39 PM"
,Sealed Air declares $0.16 dividend,"Yesterday, 4:39 PM"
NOAH,Noah Holdings reports Q1 results,"Yesterday, 4:38 PM"
REDU,"RISE Education beats by $0.03, misses on revenue","Yesterday, 4:38 PM"
LVWD,LiveWorld reports Q1 results,"Yesterday, 4:35 PM"
ISEYF,WI2WI reports Q1 results,"Yesterday, 4:34 PM"
IQ,"iQIYI beats by $0.17,  revenue in-line","Yesterday, 4:33 PM"
NGM,NGM Biopharmaceuticals reports Q1 results,"Yesterday, 4:32 PM"
BIDU,"Baidu misses by $0.16,  revenue in-line","Yesterday, 4:32 PM"
ALEX,Alexander & Baldwin buys shopping center for $17.75M,"Yesterday, 4:28 PM"
PINS,"Pinterest -17% on wider loss, downside FY view","Yesterday, 4:28 PM"
KRC,Kilroy Realty declares $0.485 dividend,"Yesterday, 4:27 PM"
EGLT,"Egalet reports Q1 results, will change name to Zyla Life Sciences","Yesterday, 4:26 PM"
,CoreSite Realty declares $1.22 dividend,"Yesterday, 4:25 PM"
,Pope Resources declares $1.00 dividend,"Yesterday, 4:24 PM"
,Nvidia declares $0.16 dividend,"Yesterday, 4:24 PM"
ENS,"EnerSys beats by $0.02, misses on revenue","Yesterday, 4:23 PM"
,AvalonBay Communities declares $1.52 dividend,"Yesterday, 4:23 PM"
LK,Luckin Coffee IPO said to be running hot,"Yesterday, 4:22 PM"
,Xylem declares $0.24 dividend,"Yesterday, 4:21 PM"
,Carter's declares $0.50 dividend,"Yesterday, 4:21 PM"
sym,title1,newstime
,Friday's economic calendar,"Fri, May 17, 12:00 AM"
KBR,Fourth train at Freeport LNG export terminal wins FERC approval,"Yesterday, 10:54 PM"
BPMX,BioPharmX down 15% after hours on stock sales agreement,"Yesterday, 10:45 PM"
PHM,PulteGroup adds $500M to stock buyback program,"Yesterday, 10:29 PM"
SNDE,Sundance Energy Australia&nbsp; misses on revenue,"Yesterday, 8:27 PM"
HUYA,"Huya Broadcasting EPS in-line, beats on revenue","Yesterday, 8:22 PM"
FLR,Fluor confirms Hernandez as its CEO,"Yesterday, 7:00 PM"
DISCA,Discovery prices $1.5B in senior debt,"Yesterday, 6:55 PM"
BAYRY,Bayer to bet on 'silver bullet' defense in Roundup litigation - Reuters,"Yesterday, 6:51 PM"
HUYA,"Huya +3.1% as profits double, revenues top expectations","Yesterday, 6:48 PM"
ACDVF,Air Canada in exclusive talks to buy Transat in deal likely to draw scrutiny,"Yesterday, 6:23 PM"
,Legg Mason Partners Advisor declares monthly distribution on funds,"Yesterday, 6:04 PM"
,On the hour,"Yesterday, 6:00 PM"
,Blackhawk Bancorp declares $0.10 dividend,"Yesterday, 5:57 PM"
PDCE,PDC Energy wins Glass Lewis support in activist challenge,"Yesterday, 5:53 PM"
,"NVDA, BIDU, AMAT and PINS among notable after hour movers","Yesterday, 5:46 PM"
VNET,"Data-center firm 21Vianet logs steady growth, plans investment","Yesterday, 5:35 PM"
CAE,CAE Q4 2019 Earnings Preview,"Yesterday, 5:30 PM"
,Notable earnings before Friday’s open,"Yesterday, 5:30 PM"
DE,Deere Q2 2019 Earnings Preview,"Yesterday, 5:30 PM"
COHO,Crednology Holding reports Q1 results,"Yesterday, 5:24 PM"
RRC,Range Resources promotes Degner to COO,"Yesterday, 5:23 PM"
HAL,Halliburton declares $0.18 dividend,"Yesterday, 5:20 PM"
VALE,Vale warns of rupture risk at another Brazilian mining waste dam,"Yesterday, 5:15 PM"
,Apollo Investment declares $0.45 dividend,"Yesterday, 5:15 PM"
,Cboe Global Markets declares $0.31 dividend,"Yesterday, 5:12 PM"
AMZN,Amazon mulls backing Uber Eats competitor - Sky,"Yesterday, 5:11 PM"
EGLT,Egalet reports Q1 results,"Yesterday, 5:02 PM"
CSOD,Cornerstone hires new CMO,"Yesterday, 5:02 PM"
EDPFY,EDP - Energias de Portugal reports Q1 results,"Yesterday, 4:58 PM"
GSM,Ferroglobe CFO Murnane to resign,"Yesterday, 4:57 PM"
LRCX,Semi equipment stocks move on AMAT print,"Yesterday, 4:54 PM"
BIDU,"Baidu -9.6% on Q1 miss, low Q2 revenue outlook","Yesterday, 4:52 PM"
BPTH,Bio-Path files for $125M mixed shelf; shares down 7% after hours,"Yesterday, 4:51 PM"
DFFN,Diffusion Pharma files for $50M mixed shelf; shares down 10% after hours,"Yesterday, 4:50 PM"
AI.PB,Arlington Asset Investment Cum Red Pfd Registered Series B declares $0.4375 dividend,"Yesterday, 4:49 PM"
,iStar Inc. PFD SER D declares $0.50 dividend,"Yesterday, 4:49 PM"
,Panhandle Oil and Gas declares $0.04 dividend,"Yesterday, 4:48 PM"
STAR.PI,iStar Inc. PFD SER I declares $0.46875 dividend,"Yesterday, 4:47 PM"
STAR.PG,iStar Financial Inc 7.65 % Cum Red Pfd Shs Series G declares $0.4781 dividend,"Yesterday, 4:46 PM"
VAR,Varian expects $4M - 5M hit from U.S./China trade war,"Yesterday, 4:46 PM"
SF.PA,Stifel Financial Corp Deposit Shs Repr Non-Cum Pfd Shs Series A declares $0.390625 dividend,"Yesterday, 4:45 PM"
PSIX,Power Solutions International provides preliminary financial results for FY18,"Yesterday, 4:45 PM"
WPTIF,WPT Industrial REIT declares $0.0633 dividend,"Yesterday, 4:44 PM"
NVDA,"Nvidia +6% on Q1 beats, gaming recovery","Yesterday, 4:43 PM"
CHS,Chico's turns down offer from Sycamore Partners,"Yesterday, 4:42 PM"
,Wyndham Destinations declares $0.45 dividend,"Yesterday, 4:41 PM"
VNET,"21Vianet Group, Inc. misses by $0.02, misses on revenue","Yesterday, 4:41 PM"
NTB,Bank of N.T. Butterfield COO exits,"Yesterday, 4:41 PM"
MOR,Morphosys' lead drug successful in mid-stage DLBCL study,"Yesterday, 4:41 PM"
,Stifel Financial declares $0.15 dividend,"Yesterday, 4:41 PM"
IQ,IQiyi grows top line but widens losses; shares -2.9%,"Yesterday, 4:40 PM"
POL,PolyOne declares $0.195 dividend,"Yesterday, 4:40 PM"
,First BanCorp. declares $0.03 dividend,"Yesterday, 4:40 PM"
WTRH,Waitr Holdings to offer shares,"Yesterday, 4:39 PM"
,Sealed Air declares $0.16 dividend,"Yesterday, 4:39 PM"
NOAH,Noah Holdings reports Q1 results,"Yesterday, 4:38 PM"
REDU,"RISE Education beats by $0.03, misses on revenue","Yesterday, 4:38 PM"
LVWD,LiveWorld reports Q1 results,"Yesterday, 4:35 PM"
ISEYF,WI2WI reports Q1 results,"Yesterday, 4:34 PM"
IQ,"iQIYI beats by $0.17,  revenue in-line","Yesterday, 4:33 PM"
NGM,NGM Biopharmaceuticals reports Q1 results,"Yesterday, 4:32 PM"
BIDU,"Baidu misses by $0.16,  revenue in-line","Yesterday, 4:32 PM"
ALEX,Alexander & Baldwin buys shopping center for $17.75M,"Yesterday, 4:28 PM"
PINS,"Pinterest -17% on wider loss, downside FY view","Yesterday, 4:28 PM"
KRC,Kilroy Realty declares $0.485 dividend,"Yesterday, 4:27 PM"
EGLT,"Egalet reports Q1 results, will change name to Zyla Life Sciences","Yesterday, 4:26 PM"
,CoreSite Realty declares $1.22 dividend,"Yesterday, 4:25 PM"
,Pope Resources declares $1.00 dividend,"Yesterday, 4:24 PM"
,Nvidia declares $0.16 dividend,"Yesterday, 4:24 PM"
ENS,"EnerSys beats by $0.02, misses on revenue","Yesterday, 4:23 PM"
,AvalonBay Communities declares $1.52 dividend,"Yesterday, 4:23 PM"
LK,Luckin Coffee IPO said to be running hot,"Yesterday, 4:22 PM"
,Xylem declares $0.24 dividend,"Yesterday, 4:21 PM"
,Carter's declares $0.50 dividend,"Yesterday, 4:21 PM"
NVDA,"Nvidia beats by $0.07, beats on revenue","Yesterday, 4:21 PM"
ENS,EnerSys declares $0.175 dividend,"Yesterday, 4:21 PM"
FR,First Industrial Realty notes offering to refinance $107M of debt,"Yesterday, 4:20 PM"
,"Stocks post third straight gain, helped by Walmart, Cisco earnings","Yesterday, 4:20 PM"
CCI,Crown Castle declares $1.125 dividend,"Yesterday, 4:20 PM"
,Corecivic declares $0.44 dividend,"Yesterday, 4:19 PM"
BOOT,Boot Barn +3% after strong rodeo season,"Yesterday, 4:18 PM"
EPR,EPR Properties declares $0.375 dividend,"Yesterday, 4:18 PM"
VJET,Voxeljet beats on revenue,"Yesterday, 4:18 PM"
AMAT,"Applied Materials +4% on Q2 beats, in-line guide","Yesterday, 4:17 PM"
,FBL Financial declares $0.48 dividend,"Yesterday, 4:17 PM"
,Hartford Financial declares $0.30 dividend,"Yesterday, 4:16 PM"
,Viad declares $0.10 dividend,"Yesterday, 4:16 PM"
QGEN,Qiagen teams up with Inovio to develop liquid biopsy companion diagnostic,"Yesterday, 4:16 PM"
PLMR,Palomar Holdings reports Q1 results,"Yesterday, 4:15 PM"
BOOT,"Boot Barn beats by $0.05, beats on revenue","Yesterday, 4:14 PM"
AINV,Apollo Investment speeds lower risk loan origination,"Yesterday, 4:11 PM"
MNKD,MannKind establishes Afrezza presence Down Under; shares up 7% after hours,"Yesterday, 4:10 PM"
,Group 1 Automotive declares $0.26 dividend,"Yesterday, 4:09 PM"
,Merchants Bancorp declares $0.07 dividend,"Yesterday, 4:09 PM"
,Washington Prime Group declares $0.25 dividend,"Yesterday, 4:08 PM"
,SS&C declares $0.10 dividend,"Yesterday, 4:07 PM"
AGYS,Agilysys EPS and revenue in-line,"Yesterday, 4:07 PM"
TVETF,Traverse Energy reports Q1 results,"Yesterday, 4:06 PM"
AINV,"Apollo Investment beats by $0.02, misses on revenue","Yesterday, 4:05 PM"
USO,U.S. crude climbs to two-week high amid Middle East tension,"Yesterday, 4:05 PM"
PINS,"Pinterest misses by $0.21, beats on revenue","Yesterday, 4:04 PM"
AMAT,"Applied Materials beats by $0.04, beats on revenue","Yesterday, 4:02 PM"
,Averages ends higher,"Yesterday, 4:00 PM"
HYD,Goldman's muni junk fund steps into IG for a bit - Bloomberg,"Yesterday, 3:48 PM"
BA,"Boeing completes 737 MAX software update, sending shares higher","Yesterday, 3:44 PM"
UPWK,Upwork dips as Fiverr files for IPO,"Yesterday, 3:40 PM"
,"Disruptive tech dents profits for Japanese, South Korean automakers","Yesterday, 3:32 PM"
,Gabelli Go Anywhere Trust declares $0.20 dividend,"Yesterday, 3:31 PM"
,Gabelli Healthcare & Wellness Trust declares $0.14 dividend,"Yesterday, 3:26 PM"
,Lear declares $0.75 dividend,"Yesterday, 3:24 PM"
NMR,Nomura -4.3% after Citi turns bearish; Qiwi gains a bull,"Yesterday, 3:24 PM"
AMZN,Amazon could buy Google's ad tech rival - Bloomberg,"Yesterday, 3:21 PM"
IAG,Iamgold seeking potential sale - Bloomberg,"Yesterday, 3:19 PM"
DRE,"Duke Realty cut; KB Home, Taylor Morrison raised","Yesterday, 3:17 PM"
TSCO,Tractor Supply a top pick at Guggenheim,"Yesterday, 3:10 PM"
STNG,Scorpio Tankers upgraded at J.P. Morgan on momentum ahead of IMO 2020,"Yesterday, 3:08 PM"
,On the hour,"Yesterday, 3:00 PM"
AAPL,Apple's U.S. installed base growth slows,"Yesterday, 2:57 PM"
,Technology - Top 5 Gainers / Losers,"Yesterday, 2:53 PM"
ITOX,IIOT-OXYS reports Q1 results,"Yesterday, 2:51 PM"
TDG,"TransDigm has 'predatory approach,' Pentagon official tells Congress","Yesterday, 2:47 PM"
NVDA,What to watch in Nvidia's Q1 print,"Yesterday, 2:36 PM"
,Ellsworth Fund declares $0.12 dividend,"Yesterday, 2:36 PM"
LVS,Las Vegas Sands aims high in Osaka,"Yesterday, 2:34 PM"
,Union Pacific declares $0.88 dividend,"Yesterday, 2:34 PM"
CRC,California bill that would cut oil and gas drilling will not pass this year - report,"Yesterday, 2:28 PM"
,Dynex Capital declares $0.06 dividend,"Yesterday, 2:20 PM"
,Bancroft Fund declares $0.25 dividend,"Yesterday, 2:17 PM"
,Gabelli Convertible&Income Securities Fund declares $0.12 dividend,"Yesterday, 2:17 PM"
GE,"GE asset sale to Danaher at risk amid weak life sciences market, analyst says","Yesterday, 2:16 PM"
PPBN,Pinnacle Bankshares declares $0.14 dividend,"Yesterday, 2:08 PM"
MTSI,Stifel steps up to MACOM sidelines,"Yesterday, 2:07 PM"
,Gabelli Global Multimedia Trust declares $0.22 dividend,"Yesterday, 2:04 PM"
TAK,Takeda to sell Latin American business,"Yesterday, 2:04 PM"
,On the hour,"Yesterday, 2:00 PM"
,Gabelli Equity Trust declares $0.15 dividend,"Yesterday, 1:59 PM"
,Basic Energy Services and FTS International among Energy/Materials gainers; Roan Resources and CARBO Ceramics among losers,"Yesterday, 1:59 PM"
FNMA,"Treasury aide, hired to fix Frannie, set to exit - NYT","Yesterday, 1:58 PM"
SWK,Stanley Black & Decker reaffirms 2019 earnings guidance,"Yesterday, 1:55 PM"
SVBRF,Silver Bear Resources reports Q1 results,"Yesterday, 1:52 PM"
CIG,Companhia Energtica de Minas Gerais - CEMIG reports Q1 results,"Yesterday, 1:46 PM"
HOG,Positive read on used Harley prices,"Yesterday, 1:44 PM"
GLU,Gabelli Global Utility & Income Trust declares $0.10 dividend,"Yesterday, 1:36 PM"
GUT,Gabelli Utility Trust declares $0.05 dividend,"Yesterday, 1:25 PM"
ZLAB,Zai Lab on go with China study of antibiotic combo,"Yesterday, 1:22 PM"
,Community Bank System declares $0.38 dividend,"Yesterday, 1:22 PM"
GDV,Gabelli Dividend & Income Trust declares $0.11 dividend,"Yesterday, 1:22 PM"
WPX,"WPX, Howard Energy complete Delaware Basin expansion projects","Yesterday, 1:21 PM"
,Colliers International declares $0.05 dividend,"Yesterday, 1:20 PM"
TD,Bank of Canada sees financial system risk edging higher,"Yesterday, 1:15 PM"
E,Eni to extend Algerian gas imports through 2027,"Yesterday, 1:12 PM"
,"Sony, Microsoft team on innovation for game/entertainment streaming, AI","Yesterday, 1:08 PM"
LK,Hedgeye sees huge upside for Luckin Coffee,"Yesterday, 1:06 PM"
,Quest Resource and Limbach among industrial gainers; Ocean Power Technologies and A. O. Smith among losers,"Yesterday, 1:01 PM"
,On the hour,"Yesterday, 1:00 PM"
,Shoe stocks hit their stride again,"Yesterday, 12:59 PM"
OXY,"Occidental overpaying for Anadarko, Argus analyst says in downgrade","Yesterday, 12:58 PM"
JPM,"German prosecutors focus on JPM, BNY, Citi over ADR taxes - Handelsblatt","Yesterday, 12:50 PM"
,Qiwi leads financial gainers; LM Funding America and China Bat Group among losers,"Yesterday, 12:50 PM"
PFE,FDA OKs expanded use of Pfizer's anticoagulant Fragmin,"Yesterday, 12:47 PM"
,Microcaps mostly among midday movers,"Yesterday, 12:39 PM"
GERN,Geron down 6% on extended timeline for imetelstat in myelofibrosis,"Yesterday, 12:36 PM"
,Gabelli Global Small and Mid-Cap Value fund declares $0.14 dividend,"Yesterday, 12:35 PM"
PLW,China cuts its U.S. government debt stockpile to two-year low,"Yesterday, 12:32 PM"
IIPZF,InterRent Real Estate Investment Trust declares $0.024167 dividend,"Yesterday, 12:30 PM"
GGN,"GAMCO Global Gold, Natural Resources & Income Trust declares $0.05 dividend","Yesterday, 12:26 PM"
GNT,GAMCO Natural Resources Gold&Income Trust declares $0.05 dividend,"Yesterday, 12:24 PM"
RDS.A,Foreign oil companies eye potential Iraq exit on security concerns,"Yesterday, 12:23 PM"
NDVN,nDivision reports Q1 results,"Yesterday, 12:20 PM"
,Third Century Bancorp declares $0.07 dividend,"Yesterday, 12:20 PM"
EDAP,"EDAP revenue miss pressures shares, down 16%","Yesterday, 12:18 PM"
VLOUF,Vallourec SA reports Q1 results,"Yesterday, 12:18 PM"
HSTRF,Supreme Cannabis acquires Blissco Cannabis,"Yesterday, 12:10 PM"
FTSI,FTS International unveils $100M stock buyback,"Yesterday, 12:07 PM"
T,WarnerMedia seals Reilly contract through 2022,"Yesterday, 12:07 PM"
NKTR,"Investors unmoved with Nektar's NKTR-255 data, shares down 8%","Yesterday, 12:06 PM"
,Stocks extend gains in risk-on rally,"Yesterday, 12:03 PM"
,Coca-Cola Consolidated and At Home Group among consumer gainers; Fabrinet and Adient among losers,"Yesterday, 12:00 PM"
FB,Facebook purges 'inauthentic' content originating in Israel,"Yesterday, 11:57 AM"
ROAN,Roan Resources -44% since Q1 earnings release,"Yesterday, 11:56 AM"
IVC,Invacare declares $0.0125dividend,"Yesterday, 11:52 AM"
GLW,Corning expects no impact from Huawei ban,"Yesterday, 11:47 AM"
OLBG,OLB Group reports Q1 results,"Yesterday, 11:46 AM"
,More on Payment Data Systems Q1 results,"Yesterday, 11:41 AM"
LNG,"Gulf Coast LNG projects face delays amid trade war, analysts say","Yesterday, 11:38 AM"
FXB,Pounds falls as May agrees to discuss her exit plan,"Yesterday, 11:38 AM"
ADVM,Adverum up 16% on advancement of ADVM-022 in early-stage wet AMD study,"Yesterday, 11:36 AM"
FTCH,Credit Suisse sees JD benefit for Farfetch,"Yesterday, 11:36 AM"
GOGO,Gogo convertible notes tender expires with 98.12% acceptance,"Yesterday, 11:32 AM"
ADM,Trade war hurting U.S. ethanol industry 'badly' - U.S. Grains Council,"Yesterday, 11:21 AM"
VVV,Valvoline talks growth,"Yesterday, 11:20 AM"
,CTS Corporation declares $0.04 dividend,"Yesterday, 11:17 AM"
AIRB,Former Apple exec joins Airbnb board,"Yesterday, 11:17 AM"
S,Sprint making first 5G devices available May 31,"Yesterday, 11:16 AM"
,Noble Roman rallies 13.5% post Q1 results,"Yesterday, 11:15 AM"
PBIO,Pressure BioSciences reports Q1 results,"Yesterday, 11:14 AM"
GCI,Gannett confirms total victory in proxy contest,"Yesterday, 11:09 AM"
,Apple shares wobble after Huawei ban,"Yesterday, 11:08 AM"
WSR,Whitestone shareholders approve move to declassify board,"Yesterday, 11:08 AM"
QRHC,Quest Resource +6% post Q1 results beats,"Yesterday, 11:08 AM"
TSLA,NTSB updates on fatal Model 3 accident involving Autopilot,"Yesterday, 11:06 AM"
,GDL Fund declares $0.10 dividend,"Yesterday, 11:05 AM"
,Hasbro declares $0.68 dividend,"Yesterday, 11:04 AM"
NLSN,Nielsen expands local media solution to 19 more markets,"Yesterday, 11:03 AM"
,Iovance Biotherapeutics leads healthcare gainers; EDAP TMS and Cellectar Biosciences among losers,"Yesterday, 11:02 AM"
,On the hour,"Yesterday, 11:00 AM"
MAXR,NASA chooses Maxar to study future space comms platform,"Yesterday, 11:00 AM"
SOLY,Soliton down 20% on bearish WDR report,"Yesterday, 10:58 AM"
SFTBF,SoftBank leads $484M round in travel startup,"Yesterday, 10:58 AM"
MHPC,Manufactured Housing Properties reports Q1 results,"Yesterday, 10:58 AM"
NAK,Northern Dynasty's Pebble project inks second native right-of-way deal,"Yesterday, 10:55 AM"
PMOIF,Premier Oil raises 2019 production outlook,"Yesterday, 10:51 AM"
DISCA,Discovery launches debt offering to roll over senior notes,"Yesterday, 10:50 AM"
IDCBF,JPMorgan moves to No. 2 in Forbes Global 2000 list,"Yesterday, 10:50 AM"
,Walmart guides select retailers higher,"Yesterday, 10:48 AM"
DXF,Dunxin Financial reports FY results,"Yesterday, 10:47 AM"
MTSI,MACOM announces CEO transition,"Yesterday, 10:43 AM"
MOS,Mosaic active to the upside - market chatter cited,"Yesterday, 10:43 AM"
VUZI,Vuzix +5% on $275K order stage,"Yesterday, 10:41 AM"
LIGA,LIG Assets reports Q1 results,"Yesterday, 10:37 AM"
CLRB,Cellectar down 25% on $10M capital raise,"Yesterday, 10:37 AM"
TNTMF,Transition Metals to acquire Cryderman gold project,"Yesterday, 10:33 AM"
ORN,Orion Group secures a contract award worth ~$13M,"Yesterday, 10:31 AM"
,Natural gas inventory build slightly more than consensus,"Yesterday, 10:30 AM"
NWGI,Newgioco reports Q1 results,"Yesterday, 10:28 AM"
CSCO,Cisco +5.5% as results ease analyst worries over macro issues,"Yesterday, 10:27 AM"
,Mortgage rates edge down,"Yesterday, 10:27 AM"
FRZT,Freeze Tag reports Q1 results,"Yesterday, 10:27 AM"
SNFCA,Security National reports Q1 results,"Yesterday, 10:26 AM"
INIS,International Isotopes reports Q1 results,"Yesterday, 10:25 AM"
KEM,"Kemet +12% after Q4 beats, in-line guide","Yesterday, 10:23 AM"
ANFGF,Minnesota wilderness area opened to copper mining; Antofagasta could benefit,"Yesterday, 10:21 AM"
PBYI,Puma's Nerlynx edges out Novartis' Tykerb in late-stage breast cancer study,"Yesterday, 10:20 AM"
SNES,SenesTech reports Q1 results and appoints new chief executive,"Yesterday, 10:19 AM"
GS,Goldman makes a $750M buy to boost wealth management business,"Yesterday, 10:16 AM"
CUI,More on CUI Global's Q1 results,"Yesterday, 10:16 AM"
UBSFY,"Ubisoft -5.3% on Q4 miss, another game delay","Yesterday, 10:12 AM"
AOS,Short reports zap A.O. Smith in early trade,"Yesterday, 10:11 AM"
AA,"Strike averted as Alcoa, union agree to extend labor deal","Yesterday, 10:06 AM"
,On the hour,"Yesterday, 10:00 AM"
BYND,Beyond Meat pushes to new high again,"Yesterday, 10:00 AM"
ENSV,Enservco jumps ~34% on Q1 earnings beat,"Yesterday, 9:59 AM"
NGG,National Grid declares $2.0256 dividend,"Yesterday, 9:56 AM"
MA,Mastercard to add AI to fast-food drive-throughs,"Yesterday, 9:50 AM"
,"Wal-Mart, Cisco help Wall Street open higher","Yesterday, 9:50 AM"
HRS,"Harris wins three-year, $284M NOAA contract extension","Yesterday, 9:49 AM"
TAK,Takeda down 2% on underwhelming TAK-788 data,"Yesterday, 9:46 AM"
QSR,Restaurant Brands called 'best in class' by Oppenheimer,"Yesterday, 9:44 AM"
THW,Tekla World Healthcare Fund goes ex-dividend tomorrow,"Yesterday, 9:44 AM"
PPRQF,Choice Properties declares CAD 0.0617 dividend,"Yesterday, 9:42 AM"
THQ,Tekla Healthcare Opportunities Fund goes ex-dividend tomorrow,"Yesterday, 9:41 AM"
FMS,Fresenius Medical Care goes ex-dividend tomorrow,"Yesterday, 9:40 AM"
YUM,Welcome to Hotel Taco Bell,"Yesterday, 9:39 AM"
EQNR,Equinor goes ex-dividend tomorrow,"Yesterday, 9:38 AM"
QCOM,Semis slide after Huawei ban,"Yesterday, 9:37 AM"
NEPH,Nephros announces $2M private placement,"Yesterday, 9:33 AM"
DHI,"D.R. Horton disclose land, cattle deals with chairman's sons - Bloomberg","Yesterday, 9:32 AM"
,At the open (5/16/2019),"Yesterday, 9:31 AM"
SPCB,SuperCom reports interim Q1 information,"Yesterday, 9:30 AM"
,Clear Channel Outdoor prices 17M shares at $5.20 each - reports,"Yesterday, 9:29 AM"
AIMT,FDA sets September 13 as meeting date for Aimmune Therapeutics' AR101,"Yesterday, 9:28 AM"
LAWS,Lawson Products announces $7.5M stock repurchase program,"Yesterday, 9:27 AM"
DDS,BAML sees more pain for Dillard's,"Yesterday, 9:26 AM"
DZSI,DASAN Zhone Solutions announces pricing of public offering of common stock,"Yesterday, 9:26 AM"
NHYDY,Brazilian court lifts one of two embargoes on key Horsk Hydro plant,"Yesterday, 9:26 AM"
NTES,NetEase +4.2% as earnings push China Renaissance to Buy,"Yesterday, 9:26 AM"
SHPPY,SOPHOS GROUP PLC ADR reports FY results,"Yesterday, 9:24 AM"
DZSI,DASAN Zhone Solutions prices public offering,"Yesterday, 9:22 AM"
,"GEVO, TRQ among premarket gainers","Yesterday, 9:21 AM"
